Date,Workout Name,Exercise Name,Set Order,Weight,Reps,RPE,Notes
2026-06-01 18:00:00,Push,Bench Press (Barbell),1,80,8,8,
2026-06-01 18:00:00,Push,Bench Press (Barbell),2,80,7,9,
2026-06-01 18:00:00,Push,Incline Dumbbell Press,1,30,10,8,
2026-06-01 18:00:00,Push,Overhead Press (Barbell),1,50,8,8,
2026-06-01 18:00:00,Push,Triceps Pushdown,1,25,12,8,
2026-06-03 18:00:00,Pull,Deadlift (Barbell),1,140,5,8,
2026-06-03 18:00:00,Pull,Pull Up,1,0,9,8,
2026-06-03 18:00:00,Pull,Barbell Row,1,70,9,8,
2026-06-03 18:00:00,Pull,Bicep Curl (Dumbbell),1,15,11,8,
2026-06-05 18:00:00,Legs,Squat (Barbell),1,110,6,8,
2026-06-05 18:00:00,Legs,Romanian Deadlift,1,90,9,8,
2026-06-05 18:00:00,Legs,Leg Extension,1,50,13,8,
2026-06-05 18:00:00,Legs,Standing Calf Raise,1,60,15,8,
